Percent of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 11/14/2022)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-21,2021-17,0.8,1.9,36.1,31.6,29.6
2020-21,2021-18,0.6,2.2,35.6,31.5,30.1
2020-21,2021-19,1.5,1.9,38.6,30.1,27.9
2020-21,2021-20,1.3,1.7,37.9,27.5,31.6
2020-21,2021-21,1.3,2.5,40.2,27.3,28.7
2020-21,2021-22,1.5,3.3,36.6,29.8,28.7
2020-21,2021-23,1.4,2.0,42.7,26.3,27.7
2020-21,2021-24,0.8,2.4,41.1,26.0,29.7
2020-21,2021-25,0.7,3.3,40.3,26.5,29.2
2020-21,2021-26,1.5,2.5,41.3,28.2,26.5
2020-21,2021-27,1.9,2.0,42.4,26.4,27.3
2020-21,2021-28,0.9,2.5,40.8,25.3,30.5
2020-21,2021-29,1.6,1.4,40.7,28.5,27.9
2020-21,2021-30,0.9,1.3,38.5,28.9,30.4
2020-21,2021-31,1.2,1.8,39.4,27.9,29.7
2020-21,2021-32,1.0,1.5,36.9,28.9,31.7
2020-21,2021-33,1.1,1.7,35.3,28.5,33.4
2020-21,2021-34,1.2,1.7,34.2,28.3,34.6
2020-21,2021-35,1.3,1.8,34.4,27.9,34.7
2020-21,2021-36,1.5,1.9,31.7,29.5,35.5
2020-21,2021-37,1.3,1.9,30.8,28.2,37.8
2020-21,2021-38,1.2,2.0,30.1,28.4,38.2
2020-21,2021-39,1.4,2.0,29.2,27.1,40.3

"The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET) hospitalization data are preliminary and subject to change as more data become available. In particular, case counts for recent hospital admissions are subject to lag. Lag for COVID-NET case identification and reporting might increase around holidays or during periods of increased hospital utilization. As data are received each week, prior case counts are updated accordingly."
"COVID-NET conducts population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT)."
